Company,Country,Industry,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,Label
PSO Pakistan 2017,Pakistan,Oil & Gas,1.318,1.015,1.766,0.762,0.595,0.933,1.077,-0.2,Legit
Dangote Cement,Nigeria,Construction,1.141,1.184,1.621,0.735,0.3,0.904,0.634,0.1927,Legit
Under Armour 2018,USA,Consumer Goods,1.821,1.48,1.664,1.922,0.967,1.176,1.329,0.257,Fraud
Evergrande 2021,China,Real Estate,1.624,1.216,1.098,2.909,0.463,1.092,1.21,0.4408,Fraud
TSMC 2018,Taiwan,Semiconductors,1.177,1.066,0.979,1.225,1.123,0.992,1.274,0.3983,Legit
Geodesic Ltd,India,IT Services,1.464,1.645,2.072,2.049,1.269,1.642,1.278,0.5,Fraud
WorldCom Inc,USA,Telecommunications,1.802,1.327,1.892,1.386,0.919,0.594,1.747,0.5,Fraud
Sequential Brands,USA,Consumer Goods,1.062,1.253,1.868,2.317,1.222,1.03,1.308,0.4912,Fraud
MCB Bank,Pakistan,Banking,1.228,0.845,1.259,0.768,1.017,1.428,1.074,-0.2,Legit
Systems Limited,Pakistan,IT Services,0.718,0.949,1.446,1.185,0.781,1.016,1.053,-0.2,Legit
Telecard 2011,Pakistan,Telecommunications,1.599,0.603,1.721,2.189,1.374,0.819,1.42,0.1228,Fraud
Palantir Technologies,USA,Software,1.39,0.369,1.112,1.165,0.656,0.978,0.667,-0.0774,Legit
Saniona AB,Sweden,Pharmaceuticals,1.925,1.146,1.89,2.039,1.457,0.884,1.523,0.5,Fraud
Tyco 1999,USA,Conglomerate,1.047,1.229,1.793,1.828,1.287,1.134,0.93,-0.2,Fraud
Toyota 2015,Japan,Automotive,1.111,0.367,0.604,1.586,0.857,1.0,0.576,0.0938,Legit
Chembio Diagnostics,USA,Medical Devices,0.647,1.336,0.67,2.095,0.845,1.317,1.425,-0.1456,Legit
Embraer scandal,Brazil,Aerospace,1.694,1.236,2.174,1.564,1.637,0.967,1.111,-0.0919,Fraud
Brookfield Asset,Canada,Financial Services,0.697,1.444,1.187,0.925,1.068,1.705,0.961,-0.0477,Legit
Coca-Cola Company,USA,Beverages,0.448,0.517,0.969,1.497,1.035,1.475,1.196,0.3875,Legit
Ecopetrol,Colombia,Oil & Gas,1.284,1.562,1.455,1.074,0.578,0.408,1.064,0.0209,Legit
JPMorgan 2016,USA,Banking,1.003,0.628,0.527,1.737,0.756,1.341,1.289,-0.2,Legit
Bank of America,USA,Banking,1.005,0.914,0.64,1.264,0.751,0.316,1.116,-0.1092,Legit
Enerplus Corporation,Canada,Oil & Gas,1.834,1.593,1.683,1.646,1.056,0.687,0.842,0.1492,Fraud
Reliance Capital,India,Financial Services,1.603,1.302,1.493,2.467,0.595,1.292,1.271,0.0784,Fraud
Tonix Pharma,USA,Pharmaceuticals,1.697,1.226,1.756,1.801,1.31,1.619,1.397,0.1938,Fraud
Fugro NV,Netherlands,Oil Services,2.394,1.802,2.006,2.722,1.163,1.264,1.377,0.4761,Fraud
Tucows Inc,Canada,Telecommunications,1.384,0.947,0.437,1.733,1.516,0.77,0.908,-0.153,Legit
Jaiprakash 2015,India,Construction,1.948,1.67,1.407,1.742,0.312,1.122,1.651,-0.0468,Fraud
Wirecard AG,Germany,Fintech,2.064,0.824,2.087,2.806,0.819,0.337,1.553,0.4668,Fraud
Wells Fargo,USA,Banking,0.598,0.532,0.935,1.106,0.838,0.75,0.775,-0.2,Legit
Enel SpA,Italy,Utilities,0.377,1.223,1.23,1.738,1.44,0.945,0.626,-0.1373,Legit
Serba Dinamik,Malaysia,Oil Services,2.311,1.407,1.723,1.077,1.026,0.813,1.739,0.39,Fraud
Byco 2018,Pakistan,Oil & Gas,1.536,1.787,1.752,2.24,1.188,0.866,1.154,0.2081,Fraud
Lannett Company,USA,Pharmaceuticals,1.5,1.511,1.514,1.721,0.797,1.134,1.504,0.2997,Fraud
Telus Corporation,Canada,Telecommunications,1.394,1.444,1.333,1.165,1.618,1.261,0.949,0.3905,Legit
Capgemini,France,IT Services,0.775,1.016,0.94,0.973,0.59,1.631,1.517,-0.2,Legit
Basic Earth Science,USA,Oil & Gas,2.296,1.716,1.795,1.803,1.128,0.801,1.482,0.4202,Fraud
Invacare Corporation,USA,Medical Devices,1.624,1.422,1.317,1.382,1.308,1.094,0.832,0.2869,Legit
Adamis Pharma,USA,Pharmaceuticals,1.66,1.262,2.181,1.953,0.778,1.347,1.285,0.2969,Fraud
Evergrande Group,China,Real Estate,1.803,1.896,1.741,1.577,1.716,0.998,1.96,-0.2,Fraud
Emirates Group,UAE,Aviation,0.911,0.981,1.489,1.154,0.678,1.442,0.451,-0.1369,Legit
Luckin 2020,China,Food & Beverages,2.049,2.016,1.917,1.999,1.23,1.234,0.855,-0.0946,Fraud
Pernod Ricard,France,Beverages,1.349,0.97,1.84,1.19,0.827,0.3,0.607,0.3849,Legit
Azgard Nine 2009,Pakistan,Textiles,1.832,1.271,1.571,2.919,1.436,0.988,1.487,0.1573,Fraud
Lucinda IT,India,IT Services,2.683,0.989,1.552,1.775,1.284,1.27,1.296,-0.2,Fraud
Weyerhaeuser,USA,Forestry,0.502,1.117,1.017,1.177,1.276,0.691,0.931,-0.2,Legit
Almirall SA,Spain,Pharmaceuticals,1.041,0.847,0.806,0.929,0.928,0.917,1.313,0.1359,Legit
Caverion,Finland,Construction,0.753,1.271,0.986,0.826,0.454,0.765,1.305,0.3354,Legit
Ericsson,Sweden,Telecommunications,0.82,0.922,1.25,1.488,0.444,1.414,1.451,0.1578,Legit
Danimer Scientific,USA,Chemicals,2.322,1.546,1.234,2.162,0.935,0.946,1.381,0.5,Fraud
Digi International,USA,Networking,0.697,1.098,1.299,1.745,0.607,0.541,1.115,0.1629,Legit
Manulife Financial,Canada,Insurance,1.226,0.3,1.369,1.162,1.107,0.604,0.3,-0.0608,Legit
Homestore 2001,USA,Technology,1.945,1.14,1.894,1.983,1.498,0.643,1.119,0.4685,Fraud
Tyco 2000,USA,Conglomerate,1.645,1.374,1.748,2.219,1.451,1.242,1.515,0.1406,Fraud
Kapsch TrafficCom,Austria,Technology,1.817,1.297,1.367,2.075,1.362,1.423,1.677,0.5,Fraud
Caterpillar Inc,USA,Industrial,0.98,0.846,1.064,1.318,0.3,0.848,1.176,-0.1878,Legit
Grifols SA,Spain,Pharmaceuticals,0.806,0.613,1.142,1.497,1.078,0.3,1.055,-0.1253,Legit
Keyence Corporation,Japan,Industrial,1.309,0.963,1.157,1.016,1.466,0.58,0.634,0.0268,Legit
Hartford Financial,USA,Insurance,1.388,0.73,1.188,1.111,0.784,0.697,0.765,-0.2,Legit
Autonomy Corporation,UK,Software,1.701,1.53,1.662,1.933,1.696,0.894,1.348,0.1671,Fraud
Teva Pharmaceutical,Israel,Pharmaceuticals,1.209,1.181,1.757,1.198,0.855,0.818,2.214,-0.0912,Fraud
Xinyuan Real Estate,China,Real Estate,1.996,1.175,1.817,1.487,1.762,1.268,1.121,0.5,Fraud
Lucky Cement 2016,Pakistan,Construction,1.005,0.887,1.027,1.05,1.003,1.205,0.548,-0.2,Legit
HubSpot Inc,USA,Software,0.409,0.976,1.185,1.448,0.885,0.973,1.64,-0.1433,Legit
Northrop Grumman,USA,Defense,0.953,1.032,1.253,1.512,0.772,1.221,0.681,0.1714,Legit
Evergrande 2020,China,Real Estate,2.242,1.458,1.455,1.976,1.261,1.706,1.059,0.3228,Fraud
Rogers Communications,Canada,Telecommunications,0.833,0.649,1.168,1.158,1.392,0.941,1.467,-0.2,Legit
bioMerieux,France,Life Sciences,1.383,1.195,0.757,0.865,1.08,0.795,0.867,-0.2,Legit
Party City 2019,USA,Retail,1.739,1.488,1.758,1.271,1.284,1.411,1.325,-0.1034,Fraud
Discovery Limited,South Africa,Insurance,1.703,0.986,0.695,1.391,0.966,0.677,0.793,-0.0439,Legit
DHFL fraud,India,Financial Services,1.691,1.292,1.652,1.924,1.447,0.603,1.148,0.3857,Fraud
Eurofins Scientific,Luxembourg,Testing Services,1.193,1.403,0.993,1.262,1.477,0.997,0.96,-0.0916,Legit
Gymboree 2017,USA,Retail,1.358,1.602,1.807,1.979,0.492,1.172,1.216,0.3067,Fraud
ING Group,Netherlands,Banking,0.797,0.962,1.133,1.878,1.26,0.839,0.3,0.0941,Legit
Bunny's Limited,Pakistan,Food & Beverages,1.804,1.205,2.4,1.887,1.228,1.087,1.197,0.457,Fraud
Wirecard 2016,Germany,Fintech,1.728,1.36,1.457,2.482,1.069,1.014,1.241,0.2602,Fraud
1MDB 2016,Malaysia,Government Finance,1.426,1.057,1.0,2.293,1.06,1.517,1.121,0.0625,Fraud
Windreich fraud,Germany,Renewable Energy,1.957,1.449,1.691,2.38,1.232,1.069,1.429,0.3844,Fraud
Avery Dennison,USA,Packaging,1.051,0.98,1.192,1.499,1.054,0.701,1.236,0.3166,Legit
Toyota 2018,Japan,Automotive,1.376,0.483,1.575,0.875,0.763,0.687,1.443,0.1839,Legit
NMC Health 2019,UAE,Healthcare,1.508,1.361,1.682,2.487,1.797,0.927,0.96,-0.1318,Fraud
Zenith Bank,Nigeria,Banking,1.054,1.806,1.244,0.981,0.794,0.613,0.874,-0.2,Legit
Tattooed Chef,USA,Food & Beverages,1.086,1.231,1.983,1.931,0.782,0.695,1.195,0.365,Fraud
Asahi Holdings fraud,Japan,Recycling,2.278,1.457,1.844,2.646,0.804,1.06,1.68,-0.1387,Fraud
Deccan Herald,India,Media,1.644,1.369,0.986,1.412,0.791,1.191,1.063,0.5,Fraud
Pace Pakistan,Pakistan,Real Estate,1.429,0.501,1.866,0.952,1.121,1.416,2.021,0.4029,Fraud
SBM Offshore,Netherlands,Oil Services,1.3,0.94,2.028,2.26,1.308,0.991,1.029,0.2041,Fraud
Kingfisher 2012,India,Aviation,1.268,1.583,2.321,2.152,1.232,1.188,1.464,0.5,Fraud
Pace Pakistan 2013,Pakistan,Real Estate,1.616,0.944,2.224,2.288,0.997,0.871,1.407,-0.0301,Fraud
Lingo Media,Canada,Telecommunications,0.646,1.484,0.774,1.515,1.197,0.521,0.603,-0.2,Legit
CIFS Capital,China,Financial Services,1.716,2.373,1.415,1.616,0.906,0.731,1.22,-0.1092,Fraud
Parmalat 2001,Italy,Food & Beverages,2.064,0.822,1.868,1.672,1.713,1.424,1.609,-0.0513,Fraud
Vivendi Universal,France,Media,1.894,1.578,1.684,1.91,0.817,0.81,1.868,0.0985,Fraud
Perion Network,Israel,Technology,1.485,1.903,1.803,1.358,1.405,1.226,1.253,0.3757,Fraud
Lucky Cement,Pakistan,Construction,0.881,1.177,1.093,1.783,1.05,0.39,1.043,-0.2,Legit
L'Oreal,France,Consumer Goods,1.264,1.073,0.735,0.942,0.965,0.647,0.771,0.1277,Legit
SAP SE,Germany,Software,0.905,0.309,1.146,0.722,0.644,0.672,0.813,-0.2,Legit
Empire Company,Canada,Retail,1.383,1.322,1.188,1.084,1.373,1.418,1.181,0.3722,Legit
First Abu Dhabi Bank,UAE,Banking,0.382,0.971,1.408,1.065,1.56,1.397,0.3,-0.2,Legit
Becton Dickinson,USA,Medical Devices,0.382,1.229,1.379,1.108,1.121,0.496,1.189,0.0227,Legit
Fauji Cement,Pakistan,Construction,1.167,0.619,0.853,1.338,0.781,0.889,0.931,0.1183,Legit
Tyco International,USA,Conglomerate,1.035,1.519,1.476,1.667,1.238,0.788,1.153,-0.2,Fraud
Safaricom,Kenya,Telecommunications,1.736,0.905,0.838,1.685,1.022,1.289,0.85,-0.1929,Legit
Panasonic Holdings,Japan,Electronics,1.155,0.789,1.021,1.289,1.108,0.95,0.927,0.1616,Legit
China Huishan 2017,China,Food & Beverages,1.693,1.438,1.883,2.6,1.424,0.98,1.31,0.2719,Fraud
Alliance fraud 2019,USA,Financial Services,1.306,1.286,1.663,1.712,0.857,1.523,1.241,-0.1363,Fraud
Metro Inc,Canada,Retail,1.178,1.139,1.408,1.648,0.762,0.561,1.076,-0.0675,Legit
Valaris 2019,UK,Oil Services,2.332,1.554,1.469,2.645,1.352,0.8,1.43,-0.2,Fraud
Aban Offshore,India,Oil Services,1.815,1.044,1.953,1.749,1.287,0.53,0.919,-0.0957,Fraud
Arabtec fraud,UAE,Construction,2.109,1.541,1.131,2.474,1.3,1.106,1.218,0.307,Fraud
Sunbeam Corporation,USA,Consumer Goods,1.522,1.292,1.314,1.994,1.841,0.953,1.192,-0.1715,Fraud
Senvion SA,Germany,Renewable Energy,1.686,1.804,1.255,2.474,1.484,1.351,1.191,0.0589,Fraud
Lucky Cement 2018,Pakistan,Construction,0.822,1.055,0.77,1.057,1.248,0.806,1.148,0.1498,Legit
JPMorgan 2019,USA,Banking,0.671,1.367,1.114,1.621,1.139,1.237,0.964,-0.2,Legit
Petron Corporation,Philippines,Oil & Gas,1.598,1.337,1.691,1.036,1.052,1.355,0.847,0.2403,Fraud
Johnson & Johnson,USA,Healthcare,1.001,1.246,1.081,0.837,1.001,1.295,1.065,-0.0607,Legit
Opera Software,Norway,Technology,1.837,1.358,1.447,1.848,1.507,1.113,1.819,0.2012,Fraud
Novo Nordisk 2017,Denmark,Pharmaceuticals,0.411,1.054,1.343,0.733,1.24,0.598,0.805,-0.2,Legit
Novo Nordisk 2018,Denmark,Pharmaceuticals,0.824,0.796,0.972,0.925,1.284,1.059,0.633,-0.2,Legit
Genting 2020,Malaysia,Hospitality,2.12,1.252,1.662,1.995,1.523,1.215,0.993,-0.1262,Fraud
Macquarie Group,Australia,Financial Services,0.99,0.732,0.724,1.294,1.453,0.932,0.52,-0.2,Legit
Fresenius SE,Germany,Healthcare,1.4,1.263,1.332,1.889,0.3,0.908,1.327,0.4029,Legit
Bumi 2012,Indonesia,Coal Mining,1.514,1.89,1.93,1.874,1.214,0.894,1.244,0.3096,Fraud
Gowex,Spain,Technology,1.615,2.255,1.513,2.147,0.843,0.74,1.159,0.5,Fraud
Systems Ltd 2018,Pakistan,IT Services,1.301,1.047,0.669,1.366,0.998,1.472,0.635,-0.2,Legit
NMC Health 2017,UAE,Healthcare,1.957,1.271,1.974,1.508,1.677,0.768,1.317,0.1374,Fraud
Millat Tractors,Pakistan,Industrial,0.771,1.662,0.548,1.431,0.591,1.409,1.728,-0.198,Legit
Apple 2020,USA,Consumer Electronics,0.807,1.305,0.599,1.694,0.942,0.772,0.762,-0.0986,Legit
Sui Northern Gas,Pakistan,Utilities,0.757,0.874,1.285,1.383,0.924,1.075,0.971,0.2377,Legit
Mitsubishi Materials,Japan,Materials,1.785,1.462,1.116,2.128,0.961,1.182,0.833,-0.0904,Fraud
Petro Matad,Mongolia,Oil & Gas,1.901,1.292,1.819,2.004,1.274,0.839,2.006,-0.2,Fraud
Julius Baer,Switzerland,Banking,1.475,0.652,1.263,1.584,0.8,1.164,1.328,-0.2,Legit
Geberit AG,Switzerland,Construction,1.277,0.788,1.241,1.094,1.31,0.563,0.813,-0.2,Legit
Sinocoking Coal,China,Coal Mining,1.514,1.54,1.772,1.802,1.413,1.217,1.437,0.3815,Fraud
Nike Inc,USA,Consumer Goods,1.574,1.012,1.134,1.897,0.716,1.481,1.136,0.491,Legit
Alphabet 2018,USA,Technology,0.554,1.137,0.3,0.965,0.789,1.137,1.07,0.2285,Legit
Alphabet 2020,USA,Technology,0.881,1.313,1.123,2.085,0.39,1.278,1.016,-0.0499,Legit
ZTE Corporation,China,Telecommunications,1.968,1.504,1.635,2.258,1.031,1.274,1.472,0.2769,Fraud
Royal Ahold 2002,Netherlands,Retail,2.707,1.125,1.76,2.662,1.042,0.64,1.638,0.3856,Fraud
Dollar General,USA,Retail,1.406,1.225,0.84,1.005,1.3,1.236,0.884,0.26,Fraud
Amazon 2018,USA,E-commerce,0.943,0.529,1.189,1.747,0.646,0.885,1.003,0.021,Legit
UnitedHealth Group,USA,Healthcare Insurance,1.581,1.416,1.03,0.947,0.549,0.617,1.001,0.123,Legit
Hyundai Motor,South Korea,Automotive,1.009,1.271,0.384,0.769,0.732,1.057,0.963,-0.0903,Legit
Amazon 2017,USA,E-commerce,0.692,1.286,0.942,1.378,0.3,0.891,0.965,-0.0675,Legit
Microsoft Corporation,USA,Software,1.562,1.216,1.344,0.972,0.965,1.015,0.495,-0.2,Legit
Hexagon AB,Sweden,Technology,1.447,1.675,1.656,1.339,0.825,0.493,1.621,0.0187,Legit
Digital Turbine 2021,USA,Technology,1.91,1.317,1.339,1.919,1.276,1.193,0.896,0.041,Fraud
Valeant 2015,Canada,Pharmaceuticals,1.634,0.863,1.533,1.984,1.238,1.198,1.738,-0.1736,Fraud
Luminex Corporation,USA,Medical Devices,0.856,0.828,1.267,1.129,1.036,1.254,0.867,-0.0448,Legit
Equity Bank 2019,Kenya,Banking,1.288,1.081,0.735,1.563,1.023,0.707,1.015,-0.0838,Legit
Goldman Sachs,USA,Financial Services,1.093,0.752,1.036,1.045,1.589,1.579,1.155,-0.2,Legit
Country Garden,China,Real Estate,1.389,1.501,1.704,1.83,0.919,0.519,0.864,-0.2,Fraud
Meridian Bioscience,USA,Biotechnology,1.082,1.168,1.22,1.305,0.3,0.823,0.691,0.0248,Legit
International Paper,USA,Paper,1.444,1.226,1.433,0.568,0.737,1.111,1.313,-0.2,Legit
Alphabet 2019,USA,Technology,1.206,1.084,0.893,1.92,0.3,1.016,0.3,-0.172,Legit
SinoHub,China,Technology,1.488,1.465,1.485,2.216,1.366,0.581,1.411,0.1547,Fraud
Penn West Petroleum,Canada,Oil & Gas,1.126,1.805,1.48,1.162,1.436,1.358,0.978,0.0785,Fraud
AmeriQuest 2005,USA,Mortgage,1.594,1.3,1.398,1.827,1.158,1.018,0.964,0.2494,Fraud
Getback SA,Poland,Financial Services,2.061,1.469,1.38,1.663,1.418,1.135,1.659,0.062,Fraud
Voyager Digital,Canada,Cryptocurrency,1.706,1.83,1.455,2.293,0.309,0.41,1.307,0.3696,Fraud
Packaging Corp America,USA,Packaging,0.696,0.941,0.776,1.213,1.41,1.061,1.26,0.5,Legit
Naspers,South Africa,Technology,0.433,1.432,0.3,1.546,1.149,1.151,0.712,0.0739,Legit
Indus Motor,Pakistan,Automotive,1.187,1.383,0.3,1.982,0.848,0.647,1.196,0.221,Legit
Natus Medical,USA,Medical Devices,1.204,1.254,1.103,0.852,0.901,1.37,1.44,-0.2,Legit
Telecard Pakistan,Pakistan,Telecommunications,1.691,0.941,0.694,1.198,1.151,1.101,1.37,0.2285,Fraud
Cisco Systems,USA,Networking,0.658,0.776,1.018,1.262,0.693,1.227,0.997,-0.183,Legit
Sun Life Financial,Canada,Insurance,1.156,0.855,0.656,1.416,1.201,1.521,0.987,0.5,Legit
Kakao Corporation,South Korea,Technology,1.101,0.686,0.485,0.996,0.89,0.566,1.39,-0.1842,Legit
AbCellera Bio,Canada,Biotechnology,0.823,1.524,0.911,0.781,1.706,0.698,0.966,0.3129,Legit
